Year,Inflation Rate,Change Federal Funds Rate,Federal Funds Rate,GDP % Growth,Business Cycle,Unemployment Rate,Change Unemployment Rate,Economic Notes,Adjusted Oil Prices ($/barrel),Change in Oil,Change in S&P,Change in Balance of Trade,Adjusted Crime
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1976,4.90%,0.00%,4.75%,5.39%,Expansion ,7.80%,-5.00%,Expansion,67.30,0%,33%,-89%,5287.30
1977,6.70%,36.84%,6.50%,4.62%,Expansion ,6.40%,-17.95%,Carter took office,69.42,3%,7%,100%,5077.60
1978,9.00%,53.85%,10.00%,5.54%,Expansion ,6.00%,-6.25%,Fed raised rate to 20% to stop inflation,67.03,-3%,-13%,-3%,5140.40
1979,13.30%,20.00%,12.00%,3.17%,Expansion ,6.00%,0.00%,Unexpected rise in oil prices,100.14,49%,10%,-20%,5565.50
1980,12.50%,50.00%,18.00%,-0.26%,Contraction ,7.20%,20.00%,Recession,132.90,33%,11%,-47%,5950.00
1981,8.90%,-33.33%,12.00%,2.54%,Expansion ,8.50%,18.06%,Reagan tax cuts; Min. wage $3.35,115.09,-13%,20%,-15%,5858.20
1982,3.80%,-29.17%,8.50%,-1.80%,Contraction ,10.80%,27.06%,Job Training Partnership Act;   Garn-St.Germain Act,96.48,-16%,-12%,54%,5603.70
1983,3.80%,8.82%,9.25%,4.58%,Expansion ,8.30%,-23.15%,Reagan increased military spending,85.37,-12%,23%,137%,5175.00
1984,3.90%,-10.81%,8.25%,7.24%,Expansion ,7.30%,-12.05%,Employment and production accelerated at near-record rates,80.91,-5%,15%,79%,5031.30
1985,3.80%,-6.06%,7.75%,4.17%,Expansion ,7.00%,-4.11%,Expansion,73.15,-10%,3%,4%,5207.10
1986,1.10%,-22.58%,6.00%,3.46%,Expansion ,6.60%,-5.71%,Tax cuts,38.49,-47%,21%,10%,5480.40
1987,4.40%,12.50%,6.75%,3.46%,Expansion ,5.70%,-13.64%,Black Monday,45.66,19%,27%,3%,5550.00
1988,4.40%,44.44%,9.75%,4.18%,Expansion ,5.30%,-7.02%,Fed raised rate,36.80,-19%,-5%,-30%,5664.20
1989,4.60%,-15.38%,8.25%,3.67%,Expansion ,5.40%,1.89%,Reforms made to address S&L Crisis,43.20,17%,14%,-26%,5741.00
1990,6.10%,-15.15%,7.00%,1.89%,Expansion ,6.30%,16.67%,Recession,51.73,20%,19%,-15%,5820.30
1991,3.10%,-42.86%,4.00%,-0.11%,Contraction ,7.30%,15.87%,Desert Storm; Min. wage $4.25,43.36,-16%,-4%,-65%,5897.80
1992,2.90%,-25.00%,3.00%,3.52%,Expansion ,7.40%,1.37%,NAFTA drafted,40.10,-8%,28%,15%,5660.20
1993,2.70%,0.00%,3.00%,2.75%,Expansion ,6.50%,-12.16%,Omnibus Budget Reconciliation Act,33.90,-15%,5%,79%,5484.40
1994,2.70%,83.33%,5.50%,4.03%,Expansion ,5.50%,-15.38%,School to Work Act ,30.87,-9%,9%,34%,5373.50
1995,2.50%,0.00%,5.50%,2.68%,Expansion ,5.60%,1.82%,Expansion,32.13,4%,-2%,-8%,5274.90
