year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,party,candidatevotes,totalvotes,unofficial
1976,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,FREDERICK ROHLFING,republican,FALSE,REPUBLICAN,53745,137602,FALSE
1976,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,KATHY JOYCE HOSHIJO,independents for godly government,FALSE,INDEPENDENTS FOR GODLY GOVERNMENT,23807,137602,FALSE
1976,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,CECIL L. HEFTEL,democrat,FALSE,DEMOCRAT,60050,137602,FALSE
1976,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,DEXTER L. CATE,people's,FALSE,PEOPLE'S,2408,156099,FALSE
1976,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,BILL PENAROZA,independents for godly government,FALSE,INDEPENDENTS FOR GODLY GOVERNMENT,3461,156099,FALSE
1976,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,DANIEL K. AKAKA,democrat,FALSE,DEMOCRAT,124116,156099,FALSE
1976,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,HANK INOUYE,republican,FALSE,REPUBLICAN,23917,156099,FALSE
1976,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,DON SMITH,libertarian,FALSE,LIBERTARIAN,2197,156099,FALSE
1978,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,DEBRA FIGUEROA,aloha democratic,FALSE,ALOHA DEMOCRATIC,2095,115412,FALSE
1978,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,CECIL (CEE) HEFTEL,democrat,FALSE,DEMOCRAT,84552,115412,FALSE
1978,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,WILLIAM D. SPILLANE,republican,FALSE,REPUBLICAN,24470,115412,FALSE
1978,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,PETER DAVID LARSEN,libertarian,FALSE,LIBERTARIAN,4295,115412,FALSE
1978,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,DANIEL K. AKAKA,democrat,FALSE,DEMOCRAT,118272,137957,FALSE
1978,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,CHARLIE ISAAK,republican,FALSE,REPUBLICAN,15697,137957,FALSE
1978,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,AMELIA L. FRITTS,libertarian,FALSE,LIBERTARIAN,3988,137957,FALSE
1980,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,ROCKNE H. JOHNSON,libertarian,FALSE,LIBERTARIAN,5106,123181,FALSE
1980,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,CEC HEFTEL,democrat,FALSE,DEMOCRAT,98256,123181,FALSE
1980,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,ALOMA KEEN NOBLE,republican,FALSE,REPUBLICAN,19819,123181,FALSE
1980,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,DON G. SMITH,libertarian,FALSE,LIBERTARIAN,15903,157380,FALSE
1980,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,DANIEL K. AKAKA,democrat,FALSE,DEMOCRAT,141477,157380,FALSE
1982,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,CECIL L. HEFTEL,democrat,FALSE,DEMOCRAT,134779,149907,FALSE
1982,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,ROCKNE H. JOHNSON,libertarian,FALSE,LIBERTARIAN,15128,149907,FALSE
1982,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,AMELIA LEW FRITTS,libertarian,FALSE,LIBERTARIAN,6856,148008,FALSE
1982,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,GREGORY B. MILLS,none,FALSE,NONE,9080,148008,FALSE
1982,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,DANIEL K. AKAKA,democrat,FALSE,DEMOCRAT,132072,148008,FALSE
1984,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,CEC HEFTEL,democrat,FALSE,DEMOCRAT,114884,138865,FALSE
1984,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,CHRISTOPHER WINTER,libertarian,FALSE,LIBERTARIAN,3373,138865,FALSE
1984,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,WILL BEARD,republican,FALSE,REPUBLICAN,20608,138865,FALSE
1984,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,AMELIA LEW FRITTS,libertarian,FALSE,LIBERTARIAN,4364,136741,FALSE
1984,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,DANIEL K. AKAKA,democrat,FALSE,DEMOCRAT,112377,136741,FALSE
1984,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,A. D. (AL) SHIPLEY,republican,FALSE,REPUBLICAN,20000,136741,FALSE
1986,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,BLASE HARRIS,libertarian,FALSE,LIBERTARIAN,5633,168377,FALSE
1986,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,MUFI HANNEMANN,democrat,FALSE,DEMOCRAT,63061,168377,FALSE
1986,HAWAII,HI,15,95,82,US HOUSE,1,gen,FALSE,PATRICIA SAIKI,republican,FALSE,REPUBLICAN,99683,168377,FALSE
1986,HAWAII,HI,15,95,82,US HOUSE,2,gen,FALSE,KEN SCHOOLLAND,libertarian,FALSE,LIBERTARIAN,3618,162819,FALSE
