Location,StateGovParty,StateSenateParty,StateHouseParty,StateAttorneyParty
Alabama,Republican,Republican,Republican,Republican
Alaska,Republican,Republican,Republican,Other
Arizona,Republican,Republican,Republican,Republican
Arkansas,Republican,Republican,Republican,Republican
California,Democrat,Democrat,Democrat,Other
Colorado,Democrat,Democrat,Democrat,Democrat
Connecticut,Democrat,Democrat,Democrat,Democrat
Delaware,Democrat,Democrat,Democrat,Democrat
District of Columbia,Democrat,Democrat,Other,Democrat
Florida,Republican,Republican,Republican,Republican
Georgia,Republican,Republican,Republican,Republican
Hawaii,Democrat,Democrat,Democrat,Other
Idaho,Republican,Republican,Republican,Republican
Illinois,Democrat,Democrat,Democrat,Democrat
Indiana,Republican,Republican,Republican,Republican
Iowa,Republican,Republican,Republican,Democrat
Kansas,Democrat,Republican,Republican,Republican
Kentucky,Democrat,Republican,Republican,Republican
Louisiana,Democrat,Republican,Republican,Republican
Maine,Democrat,Democrat,Democrat,Other
Maryland,Republican,Democrat,Democrat,Democrat
Massachusetts,Republican,Democrat,Democrat,Democrat
Michigan,Democrat,Republican,Republican,Democrat
Minnesota,Democrat,Republican,Democrat,Democrat
Mississippi,Republican,Republican,Republican,Republican
Missouri,Republican,Republican,Republican,Republican
Montana,Republican,Republican,Republican,Republican
Nebraska,Republican,Other,Other,Republican
Nevada,Democrat,Democrat,Democrat,Democrat
New Hampshire,Republican,Republican,Republican,Other
New Jersey,Democrat,Democrat,Democrat,Other
New Mexico,Democrat,Democrat,Democrat,Democrat
New York,Democrat,Democrat,Democrat,Democrat
North Carolina,Democrat,Republican,Republican,Democrat
North Dakota,Republican,Republican,Republican,Other
Ohio,Republican,Republican,Republican,Republican
Oklahoma,Republican,Republican,Republican,Republican
Oregon,Democrat,Democrat,Democrat,Democrat
Pennsylvania,Democrat,Republican,Republican,Democrat
Rhode Island,Democrat,Democrat,Democrat,Democrat
South Carolina,Republican,Republican,Republican,Republican
South Dakota,Republican,Republican,Republican,Republican
Tennessee,Republican,Republican,Republican,Other
Texas,Republican,Republican,Republican,Republican
Utah,Republican,Republican,Republican,Republican
Vermont,Republican,Democrat,Democrat,Democrat
Virginia,Republican,Democrat,Republican,Republican
Washington,Democrat,Democrat,Democrat,Democrat
West Virginia,Republican,Republican,Republican,Republican
Wisconsin,Democrat,Republican,Republican,Democrat
Wyoming,Republican,Republican,Republican,Other
